Segmento,Tipo_VPC,ID_elemento,Descripcion,Componente_sistema,Req_ID,Evidencia_repo,Articulo_Q1,DOI,Encaje,Notas
SB,Job,J-SB-01,Mantener catálogo calzado con tallas colores e imágenes,Admin productos + Cloudinary,RF-ADM-02; RF-ADM-03,documentacion/idoneidad-trazabilidad-iso25000.md,Reinartz et al. (2019) retail value chain,https://doi.org/10.1016/j.ijresmar.2018.12.002,Logrado,Nucleo idoneidad
SB,Job,J-SB-02,Controlar stock por variante sin overselling,Stock talla/color + triggers Supabase,RF-ADM-03; RF-RN-01,verify-precision-iso25000.mjs,Choi et al. (2018) Big data operations,https://doi.org/10.1111/poms.12838,Logrado,
SB,Job,J-SB-03,Registrar ventas presenciales y online unificadas,Ventas diarias + pedidos Supabase,RF-ADM-08; RF-PED-01,e2e/checkout-cod-order.spec.ts,Hagberg et al. (2016) digitalization retail,https://doi.org/10.1108/ijrdm-09-2015-0140,Logrado,
SB,Job,J-SB-04,Gestionar pedidos pagos y estados,Panel pedidos + Stripe webhook,RF-ADM-07; RF-PAG-01,e2e/checkout-stripe.spec.ts,Dai et al. (2024) e-commerce IA PYME,https://doi.org/10.1371/journal.pone.0305639,Logrado,
SB,Job,J-SB-05,Conocer rentabilidad costo y margen por producto,Finanzas producto admin,RF-ADM-06,verify-precision dominio finanzas,Amba et al. (2017) big data firm performance,https://doi.org/10.1016/j.jbusres.2016.08.009,Logrado,
SB,Job,J-SB-06,Anticipar quiebre de stock antes de perder ventas,Alertas stock + fecha quiebre,RF-IA-02; RF-IA-03,AdminPredictionsDashboard; IN-27,Fildes et al. (2019) retail forecasting,https://doi.org/10.1016/j.ijforecast.2019.06.004,Logrado,Diferenciador IA
SB,Job,J-SB-07,Monitorear riesgo comercial-operativo con indicador unico IRE,Panel IRE + ireHistorial,RF-IA-01,documentacion/07-modulo-ia-riesgo-empresarial.md,Duan et al. (2019) IA decisiones Big Data,https://doi.org/10.1016/j.ijinfomgt.2019.01.021,Logrado,Nucleo tesis
SB,Job,J-SB-08,Cumplir obligaciones legales e-commerce Peru,Paginas legales + libro reclamaciones,RF-LEG-01; RF-LEG-02; RF-LEG-03; RF-LEG-04,verify-cumplimiento-iso25000.mjs; TC-CMP-001..004,Norma Ley 29571 y 29733,,Logrado,Complemento normativo
SB,Pain,P-SB-01,Quiebre stock productos alta rotacion,Alertas + analisis ABC,RF-IA-03,IN-27; IN-34,Makridakis et al. (2018) forecasting accuracy,https://doi.org/10.1371/journal.pone.0194889,Logrado,
SB,Pain,P-SB-02,Capital inmovilizado baja rotacion,Analisis ABC + riesgo financiero panel,RF-IA-01,IN-35; ai-service,Lepenioti et al. (2020) prescriptive analytics,https://doi.org/10.1016/j.ijinfomgt.2019.04.003,Logrado,
SB,Pain,P-SB-03,Venta online con datos desactualizados,Catalogo vivo BFF + guards server-side,RF-CAT-02; RF-RN-01,verify-precision; e2e catalogo,Gutiérrez-Rodríguez et al. (2020) e-SQ fashion,https://doi.org/10.1016/j.jretconser.2020.102201,Logrado,
SB,Pain,P-SB-04,Datos dispersos ventas pedidos inventario,Supabase PostgreSQL centralizado,RF-RN-02,migraciones Supabase; formato-09,Shrestha et al. (2019) IA decisiones organizacionales,https://doi.org/10.1177/0008125619862257,Logrado,
SB,Pain,P-SB-05,Reabastecimiento sin pronostico demanda,RandomForestRegressor ai-service,RF-IA-02,ai-service/evaluate.py; backtest gate,Breiman (2001) Random forests,https://doi.org/10.1023/A:1010933404324,Logrado,
SB,Pain,P-SB-06,Sin visibilidad riesgo agregado negocio,IRE compuesto 0-100,RF-IA-01,GET /api/predict/combined; tests IRE,Haakman et al. (2021) AI lifecycle,https://doi.org/10.1007/s10664-021-09993-1,Logrado,Constructo tesis
SB,Pain,P-SB-07,Tareas administrativas repetitivas manuales,CRUD admin import Excel RPC,RF-ADM-02; RF-ADM-08,Dingsøyr (2012) agile methodologies,https://doi.org/10.1016/j.jss.2012.02.033,Logrado,
SB,Pain,P-SB-08,Incertidumbre cumplimiento legal digital,RF legales implementados,RF-LEG-01..04,paginas legales; e2e legal,,Logrado,
SB,Gain,G-SB-01,Panel unico KPIs ventas pedidos productos,Dashboard admin,RF-ADM-01,e2e/admin-layout.spec.ts,Verhoef et al. (2019) digital transformation,https://doi.org/10.1016/j.jbusres.2019.09.022,Logrado,
SB,Gain,G-SB-02,Alertas stock con fecha quiebre,Modulo alertas IA,RF-IA-03,IN-27,Fildes et al. (2019) retail forecasting,https://doi.org/10.1016/j.ijforecast.2019.06.004,Logrado,
SB,Gain,G-SB-03,IRE con niveles Bajo Moderado Alto Critico,UI IRE + formula visible,RF-IA-01,AdminPredictions.tsx; 07-modulo-ia,Duan et al. (2019) IA decisiones,https://doi.org/10.1016/j.ijinfomgt.2019.01.021,Logrado,
SB,Gain,G-SB-04,Proyeccion IRE 7/15/30 dias,IRE proyectado,RF-IA-03,IN-32; HORIZON_OPTIONS,Choi et al. (2018) operations big data,https://doi.org/10.1111/poms.12838,Logrado,
SB,Gain,G-SB-05,Ranking productos y recomendaciones,Top vendidos baja rotacion,RF-IA-03,IN-36,Lepenioti et al. (2020) prescriptive analytics,https://doi.org/10.1016/j.ijinfomgt.2019.04.003,Logrado,
SB,Gain,G-SB-06,Menos errores precios y totales,Guards BFF precision,RF-RN-01,verify-precision-iso25000.mjs,Makridakis et al. (2018),https://doi.org/10.1371/journal.pone.0194889,Logrado,
SB,Gain,G-SB-07,Trazabilidad pedidos y auditoria admin,Auditoria + PKCS7,RF-SEG; RNF-SEG-01,e2e/admin-audit-trail.spec.ts,Buck et al. (2021) zero-trust,https://doi.org/10.1016/j.cose.2021.102436,Logrado,
SB,Gain,G-SB-08,Confianza cumplimiento normativo peruano,Libro reclamaciones privacidad cookies,RF-LEG-01..04,verify-cumplimiento VERDE,Ley 29571 / 29733,,Logrado,
SB,Producto,PS-SB-01,Plataforma web e-commerce + panel admin + microservicio IA,Stack React BFF Supabase ai-service,RF-CAT-01..RF-IA-04,modulo completo repo,Dai et al. (2024),https://doi.org/10.1371/journal.pone.0305639,Logrado,Propuesta global
SB,Pain_Reliever,PR-SB-06,IRE agrega stock ingresos demanda en score unico,Formula IRE 40/35/25,RF-IA-01,ai-service/tests IRE invariants,07-modulo-ia §2,,Logrado,
SB,Gain_Creator,GC-SB-03,Historial IRE diario para evolucion temporal,Tabla ireHistorial,RF-IA-01,IN-33; migraciones,Haakman et al. (2021),https://doi.org/10.1007/s10664-021-09993-1,Logrado,
SA,Job,J-SA-01,Descubrir y filtrar calzado online,Catalogo publico filtros,RF-CAT-01,e2e/idoneidad-journey.spec.ts,Gutiérrez-Rodríguez (2020) e-fashion,https://doi.org/10.1016/j.jretconser.2020.102201,Logrado,
SA,Job,J-SA-02,Comprar online con confianza,Checkout Stripe + COD,RF-CHK-01; RF-PAG-01,e2e/checkout-stripe.spec.ts,Kannan & Li (2017) digital marketing,https://doi.org/10.1016/j.ijresmar.2016.11.006,Logrado,
SA,Job,J-SA-03,Registrarse con datos validos,Registro Firebase + DNI,RF-AUT-01,e2e/register-validation.spec.ts,Soto-Acosta (2020) PYME digital,https://doi.org/10.1080/10580530.2020.1814461,Logrado,
SA,Job,J-SA-04,Seguir pedidos y guardar favoritos,Historial + favoritos,RF-PED-03; RF-FAV-01,e2e/profile-save.spec.ts,Reinartz et al. (2019),https://doi.org/10.1016/j.ijresmar.2018.12.002,Logrado,
SA,Job,J-SA-05,Comprar desde movil,UI responsive web + Flutter,RF-CAT-01,e2e iphone-safari; calzatura-vilchez-mobile,Weichbroth (2020) mobile usability,https://doi.org/10.1109/ACCESS.2020.2981892,Parcial,SUS formal pendiente
SA,Pain,P-SA-01,No encontrar talla color disponible,Ficha stock en vivo,RF-CAT-02,e2e catalogo detalle,Gutiérrez-Rodríguez (2020),https://doi.org/10.1016/j.jretconser.2020.102201,Logrado,
SA,Pain,P-SA-02,Desconfianza pago y datos personales,Stripe HTTPS politicas legales,RF-PAG-01; RF-LEG-02,verify-seguridad; TC-CMP,Lallie et al. (2021) cyber e-commerce,https://doi.org/10.1016/j.cose.2021.102248,Logrado,
SA,Pain,P-SA-03,Registro tedioso o invalido,Validacion DNI App Check,RF-AUT-01,e2e/register-validation.spec.ts,,,Logrado,
SA,Gain,G-SA-01,Catalogo claro filtros busqueda,Home + catalogo routing,RF-CAT-01,capturas catalogo,Hagberg et al. (2016),https://doi.org/10.1108/ijrdm-09-2015-0140,Logrado,
SA,Gain,G-SA-02,Checkout seguro multi metodo pago,Stripe + contraentrega,RF-PAG-01; RF-CHK-01,e2e checkout,Dai et al. (2024),https://doi.org/10.1371/journal.pone.0305639,Logrado,
SC,Job,J-SC-01,Explorar catalogo sin registrarse,Paginas publicas catalogo,RF-CAT-01,e2e smoke.spec.ts,Kannan (2017),https://doi.org/10.1016/j.ijresmar.2016.11.006,Logrado,
SC,Pain,P-SC-01,Informacion pobre o carga lenta,Code-splitting lazy routes RNF-PER,RF-CAT-01,verify-eficiencia parcial,Li et al. (2021) microservices quality,https://doi.org/10.1016/j.infsof.2020.106449,Parcial,Lighthouse CI pendiente
SC,Job,J-SC-02,Conocer tienda y politicas,InfoPage FAQ terminos,RF-LEG-04,paginas ayuda paths.ts,,,Logrado,
